scenario_id,policy_type,seed,or_index,coordination_success,episode_return,episode_length
cramped_room_h400_baseline_gpu,random,0,-0.03610464292292859,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,1,0.0001324120426184905,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,2,0.05078537238432412,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,3,-0.023084852485038665,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,4,-0.037162565489122446,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,5,-0.035969764481303734,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,6,-0.018826578532090243,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,7,-0.021285053014931887,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,8,-0.05040154915212125,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,9,-0.03791653543574902,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,10,-0.01518083633349876,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,11,0.04552005389802738,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,12,-0.020092430793691052,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,13,-0.09006381819195552,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,14,-0.05327992580439944,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,15,-0.01985928231848577,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,16,-0.01961168013362813,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,17,0.056261086767170676,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,18,-0.023429584038931917,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,19,-0.012505886781544295,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,20,0.0013093313374075155,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,21,0.04164187042834655,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,22,-0.039226410219227126,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,23,-0.03737265788575839,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,24,0.16927507245326634,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,25,-0.005925965794140731,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,26,0.005084628997997553,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,27,-0.024153042236266464,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,28,-0.05187468786972882,0.0,0.0,400
cramped_room_h400_baseline_gpu,random,29,0.00426198440217429,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_5k,0,-0.0011493090497908254,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_5k,1,-0.036764007516913444,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_5k,2,-0.03681057045790814,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_5k,3,0.016226416065307836,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_5k,4,-0.014177236544371308,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_5k,5,-0.04482891256226884,0.0,0.0,400
